Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Ticket_number,Ticket_item
0,3,male,17.0,0,0,8.6625,S,315086,NONE
0,3,female,21.0,0,0,7.75,Q,364846,NONE
0,3,female,28.0,0,0,7.6292,Q,330909,NONE
0,3,female,37.0,0,0,9.5875,S,4135,NONE
1,1,female,16.0,0,0,86.5,S,110152,NONE
0,1,male,18.0,1,0,108.9,C,17758,PC
1,2,female,33.0,0,2,26.0,S,26360,NONE
1,1,male,28.0,0,0,26.55,S,111427,NONE
0,3,male,28.0,0,0,22.525,S,4001,C
1,3,male,26.0,0,0,56.4958,S,1601,NONE
1,3,male,29.0,0,0,7.75,Q,382651,NONE
0,3,male,28.0,0,0,8.05,S,3101316,SOTON/OQ
1,1,male,36.0,0,0,26.2875,S,17473,PC
1,1,female,54.0,1,0,59.4,C,17603,PC
0,3,male,24.0,0,0,7.4958,S,349209,NONE
0,1,male,47.0,0,0,34.0208,S,36967,NONE
1,2,female,34.0,0,0,10.5,S,34260,C.A.
0,3,male,28.0,0,0,24.15,Q,371110,NONE
1,2,female,36.0,1,0,26.0,S,226875,NONE
0,3,male,32.0,0,0,7.8958,S,349242,NONE
1,1,female,30.0,0,0,93.5,S,12749,NONE
0,3,male,22.0,0,0,7.8958,S,349252,NONE
0,3,male,28.0,0,0,7.225,C,2624,NONE
1,1,female,44.0,0,1,57.9792,C,111361,NONE
0,3,male,28.0,0,0,7.2292,C,2700,NONE
0,3,male,40.5,0,0,7.75,Q,367232,NONE
1,2,female,50.0,0,0,10.5,S,14258,W./C.
0,1,male,28.0,0,0,221.7792,S,17483,PC
0,3,male,39.0,0,0,7.925,S,3101296,NONE
0,2,male,23.0,2,1,11.5,S,29104,NONE
1,2,female,2.0,1,1,26.0,S,26360,NONE
0,3,male,28.0,0,0,7.2292,C,2641,NONE
0,3,male,17.0,1,1,7.2292,C,2690,NONE
1,3,female,28.0,0,2,22.3583,C,2668,NONE
0,3,female,30.0,0,0,8.6625,S,315084,NONE
1,2,female,7.0,0,2,26.25,S,13529,F.C.C.
0,1,male,45.0,0,0,26.55,S,113050,NONE
1,1,female,30.0,0,0,106.425,C,17761,PC
0,3,male,28.0,0,0,14.5,S,364498,NONE
1,1,female,22.0,0,2,49.5,C,13568,NONE
1,1,female,36.0,0,2,71.0,S,5735,WE/P
0,3,female,9.0,4,2,31.275,S,347082,NONE
0,3,female,11.0,4,2,31.275,S,347082,NONE
1,2,male,32.0,1,0,26.0,S,2908,NONE
0,1,male,50.0,1,0,106.425,C,17761,PC
0,1,male,64.0,0,0,26.0,S,693,NONE
1,2,female,19.0,1,0,26.0,S,2908,NONE
1,2,male,28.0,0,0,13.8625,C,2146,SC/PARIS
0,3,male,33.0,1,1,20.525,S,363291,NONE
1,2,male,8.0,1,1,36.75,S,33112,C.A.
1,1,male,17.0,0,2,110.8833,C,17421,NONE
0,2,male,27.0,0,0,26.0,S,244358,NONE
0,3,male,28.0,0,0,7.8292,Q,330979,NONE
1,3,male,22.0,0,0,7.225,C,2620,NONE
1,3,female,22.0,0,0,7.775,S,347085,NONE
0,1,male,62.0,0,0,26.55,S,113807,NONE
1,1,female,48.0,1,0,39.6,C,11755,NONE
0,1,male,28.0,0,0,227.525,C,17757,PC
1,1,female,39.0,1,1,79.65,S,110413,NONE
1,3,female,36.0,1,0,17.4,S,345572,NONE
0,3,male,28.0,0,0,7.75,Q,372622,NONE
0,3,male,40.0,0,0,7.8958,S,349251,NONE
0,2,male,28.0,0,0,13.5,S,218629,NONE
0,3,male,28.0,0,0,8.05,S,392082,SOTON/OQ
0,3,female,28.0,0,0,8.05,S,392087,SOTON/O.Q.
0,3,male,24.0,2,0,24.15,S,48871,A/4
0,3,male,19.0,0,0,7.8958,S,349205,NONE
0,3,female,29.0,0,4,21.075,S,349909,NONE
0,3,male,28.0,0,0,7.2292,C,2686,NONE
1,3,male,32.0,0,0,7.8542,S,350417,NONE
1,2,male,62.0,0,0,10.5,S,752,S.W./PP
1,1,female,53.0,2,0,51.4792,S,11769,NONE
1,1,male,36.0,0,0,26.3875,S,17474,PC
1,3,female,28.0,0,0,7.75,Q,14312,NONE
0,3,male,16.0,0,0,8.05,S,20589,A/4.
0,3,male,19.0,0,0,14.5,S,358585,NONE
1,2,female,34.0,0,0,13.0,S,243880,NONE
1,1,female,39.0,1,0,55.9,S,13507,NONE
0,3,female,28.0,1,0,14.4583,C,2689,NONE
1,3,male,32.0,0,0,7.925,S,3101286,STON/O_2.
1,2,female,25.0,1,1,30.0,S,237789,NONE
1,1,female,39.0,1,1,110.8833,C,17421,NONE
0,2,male,54.0,0,0,26.0,S,28403,NONE
0,1,male,36.0,0,0,40.125,C,13049,NONE
0,3,male,28.0,0,0,8.7125,C,3411,NONE
1,1,female,18.0,0,2,79.65,S,110413,NONE
0,2,male,47.0,0,0,15.0,S,237565,NONE
1,1,male,60.0,1,1,79.2,C,13567,NONE
0,3,male,22.0,0,0,8.05,S,14973,NONE
0,3,male,28.0,0,0,8.05,S,3235,A./5.
0,3,male,35.0,0,0,7.125,S,3101273,STON/O_2.
1,1,female,52.0,1,0,78.2667,C,36947,NONE
0,3,male,47.0,0,0,7.25,S,3902,A/5
0,3,female,28.0,0,2,7.75,Q,364848,NONE
0,2,male,37.0,1,0,26.0,S,29037,SC/AH
0,3,male,36.0,1,1,24.15,S,345773,NONE
1,2,female,28.0,0,0,33.0,S,248727,NONE
0,3,male,49.0,0,0,0.0,S,LINE,NONE
0,3,male,28.0,0,0,7.225,C,2664,NONE
1,1,male,49.0,1,0,56.9292,C,17485,PC
1,2,female,24.0,2,1,27.0,S,243847,NONE
0,3,male,28.0,0,0,7.8958,S,349214,NONE
0,1,male,28.0,0,0,42.4,S,113796,NONE
0,3,male,44.0,0,0,8.05,S,364511,NONE
1,1,male,35.0,0,0,26.55,C,111426,NONE
0,3,male,36.0,1,0,15.55,S,349910,NONE
0,3,male,30.0,0,0,7.8958,S,349246,NONE
1,1,male,27.0,0,0,30.5,S,113804,NONE
1,2,female,22.0,1,2,41.5792,C,2123,SC/Paris
1,1,female,40.0,0,0,153.4625,S,17582,PC
0,3,female,39.0,1,5,31.275,S,347082,NONE
0,3,male,28.0,0,0,7.05,S,3101305,SOTON/O.Q.
1,3,female,28.0,1,0,15.5,Q,367230,NONE
0,3,male,28.0,0,0,7.75,Q,370377,NONE
0,3,male,35.0,0,0,8.05,S,364512,NONE
1,2,female,24.0,1,2,65.0,S,220845,NONE
0,3,male,34.0,1,1,14.4,S,347080,NONE
0,3,female,26.0,1,0,16.1,S,3336,A/5.
1,2,female,4.0,2,1,39.0,S,230136,NONE
0,2,male,26.0,0,0,10.5,S,31028,NONE
0,3,male,27.0,1,0,14.4542,C,2659,NONE
1,1,male,42.0,1,0,52.5542,S,11753,NONE
1,3,male,20.0,1,1,15.7417,C,2653,NONE
0,3,male,21.0,0,0,7.8542,S,350029,NONE
0,3,male,21.0,0,0,16.1,S,54636,NONE
0,1,male,61.0,0,0,32.3208,S,36963,NONE
0,2,male,57.0,0,0,12.35,Q,219533,NONE
1,1,female,21.0,0,0,77.9583,S,13502,NONE
0,3,male,26.0,0,0,7.8958,S,349224,NONE
0,3,male,28.0,0,0,7.7333,Q,334912,NONE
1,1,male,80.0,0,0,30.0,S,27042,NONE
0,3,male,51.0,0,0,7.0542,S,347743,NONE
1,1,male,32.0,0,0,30.5,C,13214,NONE
0,1,male,28.0,0,0,0.0,S,112052,NONE
0,3,female,9.0,3,2,27.9,S,347088,NONE
1,2,female,28.0,0,0,13.0,S,237668,NONE
0,3,male,32.0,0,0,7.925,S,3101292,STON/O_2.
0,2,male,31.0,1,1,26.25,S,31921,C.A.
0,3,female,41.0,0,5,39.6875,S,3101295,NONE
0,3,male,28.0,1,0,16.1,S,376564,NONE
0,3,male,20.0,0,0,7.8542,S,350050,NONE
1,1,female,24.0,0,0,69.3,C,17477,PC
0,3,female,2.0,3,2,27.9,S,347088,NONE
1,3,male,28.0,0,0,56.4958,S,1601,NONE
1,3,female,0.75,2,1,19.2583,C,2666,NONE
1,1,male,48.0,1,0,76.7292,C,17572,PC
0,3,male,19.0,0,0,7.8958,S,349231,NONE
1,1,male,56.0,0,0,35.5,C,13213,NONE
0,3,male,28.0,0,0,7.55,S,751,S.O./P.P.
1,3,female,23.0,0,0,7.55,S,2314,CA.
0,3,male,28.0,0,0,7.8958,S,349221,NONE
1,2,female,18.0,0,1,23.0,S,231919,NONE
0,3,male,21.0,0,0,8.4333,S,8475,NONE
1,3,female,28.0,0,0,7.8292,Q,330919,NONE
0,3,female,18.0,0,0,6.75,Q,365226,NONE
0,2,male,24.0,2,0,73.5,S,14879,S.O.C.
0,3,male,28.0,0,0,7.8958,S,349223,NONE
0,3,female,32.0,1,1,15.5,Q,364849,NONE
0,2,male,23.0,0,0,13.0,S,29751,NONE
0,1,male,58.0,0,2,113.275,C,35273,NONE
1,1,male,50.0,2,0,133.65,S,17611,PC
0,3,male,40.0,0,0,7.225,C,2623,NONE
0,1,male,47.0,0,0,25.5875,S,5727,NONE
0,3,male,36.0,0,0,7.4958,S,349210,NONE
1,3,male,20.0,1,0,7.925,S,3101285,STON/O_2.
0,2,male,32.0,2,0,73.5,S,14879,S.O.C.
0,2,male,25.0,0,0,13.0,S,234686,NONE
0,3,male,28.0,0,0,7.775,S,312993,NONE
0,3,male,43.0,0,0,8.05,S,3536,A/5
1,1,female,28.0,1,0,52.0,S,19996,NONE
1,2,female,40.0,1,1,39.0,S,29750,NONE
0,1,male,31.0,1,0,52.0,S,12750,F.C.
0,2,male,70.0,0,0,10.5,S,24580,C.A.
1,2,male,31.0,0,0,13.0,S,244270,NONE
0,2,male,28.0,0,0,0.0,S,239856,NONE
0,3,male,18.0,0,0,7.775,S,349912,NONE
0,3,male,24.5,0,0,8.05,S,342826,NONE
1,3,female,18.0,0,0,9.8417,S,4138,NONE
0,3,female,43.0,1,6,46.9,S,2144,CA
1,1,male,36.0,0,1,512.3292,C,17755,PC
0,3,female,28.0,0,0,8.1375,Q,330935,NONE
1,1,male,27.0,0,0,76.7292,C,17572,PC
0,3,male,20.0,0,0,9.225,S,6563,NONE
0,3,male,14.0,5,2,46.9,S,2144,CA
0,2,male,60.0,1,1,39.0,S,29750,NONE
0,2,male,25.0,1,2,41.5792,C,2123,SC/Paris
0,3,male,14.0,4,1,39.6875,S,3101295,NONE
0,3,male,19.0,0,0,10.1708,S,349228,NONE
0,3,male,18.0,0,0,7.7958,S,350036,NONE
1,1,female,15.0,0,1,211.3375,S,24160,NONE
1,1,male,31.0,1,0,57.0,S,17474,NONE
1,3,female,4.0,0,1,13.4167,C,349256,NONE
1,3,male,28.0,0,0,56.4958,S,1601,NONE
0,3,male,25.0,0,0,7.225,C,2672,NONE
0,1,male,60.0,0,0,26.55,S,113800,NONE
0,2,male,52.0,0,0,13.5,S,248731,NONE
0,3,male,44.0,0,0,8.05,S,363592,NONE
1,3,female,28.0,0,0,7.7333,Q,35852,NONE
0,1,male,49.0,1,1,110.8833,C,17421,NONE
0,3,male,42.0,0,0,7.65,S,348121,NONE
1,1,female,18.0,1,0,227.525,C,17757,PC
1,1,male,35.0,0,0,26.2875,S,17475,PC
0,3,female,18.0,0,1,14.4542,C,2691,NONE
0,3,male,25.0,0,0,7.7417,Q,36864,NONE
0,3,male,26.0,1,0,7.8542,S,350025,NONE
0,2,male,39.0,0,0,26.0,S,250655,NONE
1,2,female,45.0,0,0,13.5,S,223596,NONE
1,1,male,42.0,0,0,26.2875,S,17476,PC
1,1,female,22.0,0,0,151.55,S,113781,NONE
1,3,male,28.0,1,1,15.2458,C,2661,NONE
1,1,female,24.0,0,0,49.5042,C,17482,PC
0,1,male,28.0,0,0,26.55,S,113028,NONE
1,1,male,48.0,1,0,52.0,S,19996,NONE
0,3,male,29.0,0,0,9.4833,S,7545,NONE
0,2,male,52.0,0,0,13.0,S,250647,NONE
0,3,male,19.0,0,0,7.65,S,348124,NONE
1,1,female,38.0,0,0,227.525,C,17757,PC
1,2,female,27.0,0,0,10.5,S,34218,NONE
0,3,male,28.0,0,0,15.5,Q,36568,NONE
0,3,male,33.0,0,0,7.775,S,347062,NONE
1,2,female,6.0,0,1,33.0,S,248727,NONE
0,3,male,17.0,1,0,7.0542,S,350048,NONE
0,2,male,34.0,0,0,13.0,S,12233,NONE
0,2,male,50.0,0,0,13.0,S,250643,NONE
1,1,male,27.0,1,0,53.1,S,113806,NONE
0,3,male,20.0,0,0,8.6625,S,315094,NONE
1,2,female,30.0,3,0,21.0,S,31027,NONE
1,3,female,28.0,0,0,7.7375,Q,36866,NONE
0,2,male,25.0,1,0,26.0,S,236853,NONE
0,3,female,25.0,1,0,7.925,S,3101271,STON/O2.
1,1,female,29.0,0,0,211.3375,S,24160,NONE
0,3,male,11.0,0,0,18.7875,C,2699,NONE
0,2,male,28.0,0,0,0.0,S,239855,NONE
0,2,male,23.0,0,0,13.0,S,28425,NONE
0,2,male,23.0,0,0,13.0,S,233639,NONE
0,3,male,28.5,0,0,16.1,S,54636,NONE
0,3,female,48.0,1,3,34.375,S,6608,W./C.
1,1,male,35.0,0,0,512.3292,C,17755,PC
0,3,male,28.0,0,0,7.8958,S,349201,NONE
0,3,male,28.0,0,0,7.8958,S,349218,NONE
1,1,male,28.0,0,0,30.0,S,16988,NONE
0,1,male,36.0,1,0,78.85,S,19877,NONE
1,1,female,21.0,2,2,262.375,C,17608,PC
0,3,male,24.0,1,0,16.1,S,376566,NONE
1,3,male,31.0,0,0,7.925,S,3101288,STON/O_2.
0,1,male,70.0,1,1,71.0,S,5735,WE/P
0,3,male,16.0,1,1,20.25,S,2673,C.A.
1,2,female,30.0,0,0,13.0,S,250648,NONE
0,1,male,19.0,1,0,53.1,S,113773,NONE
0,3,male,31.0,0,0,7.75,Q,335097,NONE
1,2,female,4.0,1,1,23.0,S,29103,NONE
1,3,male,6.0,0,1,12.475,S,392096,NONE
0,3,male,33.0,0,0,9.5,S,345780,NONE
0,3,male,23.0,0,0,7.8958,S,349204,NONE
1,2,female,48.0,1,2,65.0,S,220845,NONE
1,2,male,0.67,1,1,14.5,S,250649,NONE
0,3,male,28.0,0,0,7.7958,S,350042,NONE
0,2,male,18.0,0,0,11.5,S,29108,NONE
0,3,male,34.0,0,0,8.05,S,363294,NONE
1,1,female,33.0,0,0,86.5,S,110152,NONE
0,3,male,28.0,0,0,14.5,S,358585,NONE
0,3,male,41.0,0,0,7.125,S,3101272,SOTON/O2
1,3,male,20.0,0,0,7.2292,C,2663,NONE
1,1,female,36.0,1,2,120.0,S,113760,NONE
0,3,male,16.0,0,0,7.775,S,347074,NONE
1,1,female,51.0,1,0,77.9583,S,13502,NONE
0,1,male,28.0,0,0,39.6,C,112379,NONE
0,3,female,30.5,0,0,7.75,Q,364850,NONE
0,3,male,28.0,1,0,24.15,Q,371110,NONE
0,3,male,32.0,0,0,8.3625,S,8471,NONE
0,3,male,24.0,0,0,9.5,S,345781,NONE
0,3,male,48.0,0,0,7.8542,S,350047,NONE
0,2,female,57.0,0,0,10.5,S,3,S.O./P.P.
0,3,male,28.0,0,0,7.225,C,2674,NONE
1,2,female,54.0,1,3,23.0,S,29105,NONE
0,3,male,18.0,0,0,7.75,S,347078,NONE
0,3,male,28.0,0,0,7.75,Q,383121,NONE
1,3,female,5.0,0,0,12.475,S,364516,NONE
0,3,male,28.0,0,0,7.7375,Q,36865,NONE
1,1,female,43.0,0,1,211.3375,S,24160,NONE
1,3,female,13.0,0,0,7.2292,C,2687,NONE
1,1,female,17.0,1,0,57.0,S,17474,NONE
0,1,male,29.0,0,0,30.0,S,113501,NONE
0,3,male,28.0,1,2,23.45,S,6607,W./C.
0,3,male,25.0,0,0,7.05,S,3101312,SOTON/O.Q.
0,3,male,25.0,0,0,7.25,S,374887,NONE
1,3,female,18.0,0,0,7.4958,S,3101265,NONE
0,3,male,8.0,4,1,29.125,Q,382652,NONE
1,3,male,1.0,1,2,20.575,S,2315,C.A.
0,1,male,46.0,0,0,79.2,C,17593,PC
0,3,male,28.0,0,0,7.75,Q,12460,NONE
0,2,male,16.0,0,0,26.0,S,239865,NONE
0,3,female,28.0,8,2,69.55,S,2343,CA.
0,1,male,28.0,0,0,30.6958,C,17600,PC
0,3,male,25.0,0,0,7.8958,S,349203,NONE
0,2,male,39.0,0,0,13.0,S,28213,NONE
1,1,female,49.0,0,0,25.9292,S,17465,NONE
1,3,female,31.0,0,0,8.6833,S,349244,NONE
0,3,male,30.0,0,0,7.2292,C,2685,NONE
0,3,female,30.0,1,1,24.15,S,345773,NONE
0,2,male,34.0,0,0,13.0,S,250647,NONE
1,2,female,31.0,1,1,26.25,S,31921,C.A.
1,1,male,11.0,1,2,120.0,S,113760,NONE
1,3,male,0.42,0,1,8.5167,C,2625,NONE
1,3,male,27.0,0,0,6.975,S,347089,NONE
0,3,male,31.0,0,0,7.775,S,347063,NONE
0,1,male,39.0,0,0,0.0,S,112050,NONE
0,3,female,18.0,0,0,7.775,S,347087,NONE
0,2,male,39.0,0,0,13.0,S,248723,NONE
1,1,female,33.0,1,0,53.1,S,113806,NONE
0,3,male,26.0,0,0,7.8875,S,3474,NONE
0,3,male,39.0,0,0,24.15,S,48871,A/4
0,2,male,35.0,0,0,10.5,S,28206,NONE
0,3,female,6.0,4,2,31.275,S,347082,NONE
0,3,male,30.5,0,0,8.05,S,364499,NONE
0,1,male,28.0,0,0,0.0,S,112058,NONE
0,3,female,23.0,0,0,7.925,S,3101290,STON/O2.
0,2,male,31.0,1,1,37.0042,C,2079,S.C./PARIS
0,3,male,43.0,0,0,6.45,S,7075,C
0,3,male,10.0,3,2,27.9,S,347088,NONE
1,1,female,52.0,1,1,93.5,S,12749,NONE
1,3,male,27.0,0,0,8.6625,S,315098,NONE
0,1,male,38.0,0,0,0.0,S,19972,NONE
1,3,female,27.0,0,1,12.475,S,392096,NONE
0,3,male,2.0,4,1,39.6875,S,3101295,NONE
0,3,male,28.0,0,0,6.95,Q,368323,NONE
0,3,male,28.0,0,0,56.4958,S,1601,NONE
1,2,male,1.0,0,2,37.0042,C,2079,S.C./PARIS
1,3,male,28.0,0,0,7.75,Q,367228,NONE
1,1,female,62.0,0,0,80.0,,113572,NONE
1,3,female,15.0,1,0,14.4542,C,2659,NONE
1,2,male,0.83,1,1,18.75,S,29106,NONE
0,3,male,28.0,0,0,7.2292,C,2671,NONE
0,3,male,23.0,0,0,7.8542,S,347468,NONE
0,3,male,18.0,0,0,8.3,S,2223,NONE
1,1,female,39.0,1,1,83.1583,C,17756,PC
0,3,male,21.0,0,0,8.6625,S,315097,NONE
0,3,male,28.0,0,0,8.05,S,392092,NONE
1,3,male,32.0,0,0,56.4958,S,1601,NONE
1,1,male,28.0,0,0,29.7,C,11774,NONE
0,3,male,20.0,0,0,7.925,S,3101287,SOTON/O2
0,2,male,16.0,0,0,10.5,S,3,S.O./P.P.
1,1,female,30.0,0,0,31.0,C,113798,NONE
0,3,male,34.5,0,0,6.4375,C,2683,NONE
0,3,male,17.0,0,0,8.6625,S,315090,NONE
0,3,male,42.0,0,0,7.55,S,5547,C.A.
0,3,male,28.0,8,2,69.55,S,2343,CA.
0,3,male,35.0,0,0,7.8958,C,349213,NONE
0,2,male,28.0,0,1,33.0,S,248727,NONE
1,1,female,28.0,1,0,89.1042,C,17453,NONE
0,3,male,4.0,4,2,31.275,S,347082,NONE
0,3,male,74.0,0,0,7.775,S,347060,NONE
0,3,female,9.0,1,1,15.2458,C,2678,NONE
1,1,female,16.0,0,1,39.4,S,17592,PC
0,2,female,44.0,1,0,26.0,S,244252,NONE
1,3,female,18.0,0,1,9.35,S,392091,NONE
1,1,female,45.0,1,1,164.8667,S,36928,NONE
1,1,male,51.0,0,0,26.55,S,113055,NONE
1,3,female,24.0,0,3,19.2583,C,2666,NONE
0,3,male,28.0,0,0,7.2292,C,2629,NONE
0,3,male,41.0,2,0,14.1083,S,350026,NONE
0,2,male,21.0,1,0,11.5,S,28134,NONE
1,1,female,48.0,0,0,25.9292,S,17466,NONE
0,3,female,28.0,8,2,69.55,S,2343,CA.
0,2,male,24.0,0,0,13.0,S,233866,NONE
1,2,female,42.0,0,0,13.0,S,236852,NONE
1,2,female,27.0,1,0,13.8583,C,2149,SC/PARIS
0,1,male,31.0,0,0,50.4958,S,17590,PC
0,3,male,28.0,0,0,9.5,S,345777,NONE
1,3,male,4.0,1,1,11.1333,S,347742,NONE
0,3,male,26.0,0,0,7.8958,S,349248,NONE
1,1,female,47.0,1,1,52.5542,S,11751,NONE
0,1,male,33.0,0,0,5.0,S,695,NONE
0,3,male,47.0,0,0,9.0,S,345765,NONE
1,2,female,28.0,1,0,24.0,C,3381,P/PP
1,3,female,15.0,0,0,7.225,C,2667,NONE
0,3,male,20.0,0,0,9.8458,S,7534,NONE
0,3,male,19.0,0,0,7.8958,S,349212,NONE
0,3,male,28.0,0,0,7.8958,S,349217,NONE
1,1,female,56.0,0,1,83.1583,C,11767,NONE
1,2,female,25.0,0,1,26.0,S,230433,NONE
0,3,male,33.0,0,0,7.8958,S,349257,NONE
0,3,female,22.0,0,0,10.5167,S,7552,NONE
0,2,male,28.0,0,0,10.5,S,34068,C.A./SOTON
0,3,male,25.0,0,0,7.05,S,392076,SOTON/OQ
0,3,female,39.0,0,5,29.125,Q,382652,NONE
0,2,male,27.0,0,0,13.0,S,211536,NONE
1,1,female,19.0,0,0,30.0,S,112053,NONE
0,3,female,28.0,1,2,23.45,S,6607,W./C.
1,1,male,26.0,0,0,30.0,C,111369,NONE
0,3,male,32.0,0,0,7.75,Q,370376,NONE
